no,ang,v,2ang,rads,sin2a,v2,v2g,len1,len2,e
10,44.45,0.4,88.9,1.55163215782239,0.999816372933888,0.16,0.016315459407647,0.016312463447704,16.3124634477036,1.744E-05
10,52.13,0.41,104.26,1.81956780911229,0.969215630604678,0.1681,0.017141429540159,0.016613741441231,16.6137414412308,1.83229E-05
10,47.83,0.41,95.66,1.66966601751455,0.995116372283192,0.1681,0.017141429540159,0.017057717179751,17.0577171797509,1.83229E-05
10,40.7,0.42,81.4,1.42054944869745,0.988734154802384,0.1764,0.017987793996931,0.017785146294315,17.7851462943146,1.92276E-05
10,51.08,0.44,102.16,1.78315116520358,0.977537314080482,0.1936,0.019741705883253,0.019298254144482,19.2982541444817,2.11024E-05
10,47.33,0.44,94.66,1.65222099785526,0.996686842591462,0.1936,0.019741705883253,0.019676298504149,19.6762985041484,2.11024E-05
10,43.54,0.45,87.08,1.51982758136866,0.998701374663508,0.2025,0.020649253312803,0.020622437669271,20.6224376692714,2.20725E-05
10,52.99,0.47,105.98,1.84984033554862,0.96131919268791,0.2209,0.022525531144683,0.021654225414873,21.6542254148725,2.40781E-05
10,44.87,0.49,89.74,1.5663912553892,0.999990297688644,0.2401,0.0244833862736,0.024483148728163,24.4831487281634,2.61709E-05
10,47.2,0.5,94.4,1.64771235861176,0.997043420068662,0.25,0.025492905324448,0.025417533512175,25.4175335121744,2.725E-05
10,37.63,0.52,75.26,1.31353479505093,0.967090360607548,0.2704,0.027573126398923,0.026665704752212,26.6657047522121,2.94736E-05
11,62.71,0.43,125.42,2.18901083231379,0.814914593865711,0.1849,0.018854552777962,0.015364850219573,15.3648502195724,2.01541E-05
11,47.41,0.39,94.82,1.65475657728598,0.996477408222439,0.1521,0.015509883599394,0.015455248610956,15.4552486109561,1.65789E-05
11,20.48,0.49,40.96,0.714863858177336,0.655514610851516,0.2401,0.0244833862736,0.016049217425466,16.0492174254663,2.61709E-05
11,46.97,0.41,93.94,1.63962513117654,0.997632232821024,0.1681,0.017141429540159,0.017100842625893,17.1008426258931,1.83229E-05
11,39.42,0.42,78.84,1.37591279270404,0.981070230091566,0.1764,0.017987793996931,0.017647289195409,17.6472891954084,1.92276E-05
11,45.4,0.42,90.8,1.58477030545099,0.999902365549048,0.1764,0.017987793996931,0.01798603776854,17.9860377685399,1.92276E-05
11,56.97,0.45,113.94,1.98855886015103,0.913999004385484,0.2025,0.020649253312803,0.018873396969206,18.8733969692056,2.20725E-05
11,54.71,0.45,109.42,1.90964739340037,0.943137197660242,0.2025,0.020649253312803,0.019475078903214,19.4750789032135,2.20725E-05
