no,len2
16,26.702
16,26.281
16,26.168
16,26.166
16,26.087
16,26.062
16,25.075
16,24.895
16,24.234
16,23.743
16,23.495
16,23.326
16,23.222
16,23.023
16,22.89
16,22.627
16,22.443
16,22.327
16,21.553
16,21.467
16,21.222
16,21.198
16,21.198
16,21.039
16,21.02
16,20.79
16,20.48
16,20.45
16,20.39
16,20.25
16,19.61
16,19.56
16,19.54
16,19.43
16,19.21
16,19.21
16,19.17
16,19.12
16,19.04
16,18.98
16,18.91
16,18.84
16,18.65
16,18.46
16,18.42
16,18.35
16,18.2
16,18.13
16,18.13
16,18.06
16,17.81
16,17.75
16,17.03
17,28.873
17,28.222
17,28.05
17,27.681
17,27.103
17,25.888
17,25.483
17,25.395
17,25.226
17,25.133
17,24.78
17,24.404
17,23.961
17,23.953
17,23.004
17,22.826
17,22.231
17,22.033
17,21.674
17,20.996
17,20.956
17,20.853
17,20.686
17,20.602
17,20.08
17,20.022
17,19.96
17,19.675
17,19.524
17,19.485
17,19.418
17,19.274
17,19.212
17,19.201
17,19.117
17,18.92
17,18.83
17,18.57
17,18.37
17,18.12
17,18
17,17.83
17,17.77
17,17.7
17,17.2
17,16.56
18,28.537
18,27.896
18,26.995
18,26.706
18,26.696
18,25.421
18,24.876
18,24.488
18,24.318
18,24.317
18,24.21
18,24.111
18,24.09
18,23.599
18,23.417
18,23.272
18,23.018
18,22.421
18,22.217
18,21.67
18,21.303
18,21.303
18,20.26
18,20.177
18,20.128
18,20.023
18,20.02
18,20.02
18,20.02
18,19.91
18,19.85
18,19.85
18,19.79
18,19.53
18,19.53
18,19.18
18,19.17
18,19.16
18,19.02
18,18.99
18,18.95
18,18.72
18,18.58
18,18.57
18,18.23
18,18.19
18,18.08
18,18.04
18,17.96
18,17.96
18,17.9
18,17.81
18,17.74
18,17.56
18,17.56
19,27.999
19,27.481
19,26.966
19,26.875
19,26.549
19,25.732
19,24.842
19,24.803
19,24.191
19,24.181
19,22.474
19,21.241
19,21.214
19,20.935
19,20.858
19,20.522
19,20.482
19,20.142
19,20.142
19,20.028
19,19.967
19,19.811
19,19.791
19,19.676
19,19.629
19,19.469
19,19.242
19,18.962
19,18.773
19,18.309
19,18.284
19,18.141
19,17.984
19,17.884
19,17.85
19,17.85
19,17.51
20,28.726
20,28.338
20,28.338
20,28.338
20,27.736
20,25.856
20,25.679
20,25.402
20,25.261
20,25.15
20,24.055
20,23.931
20,23.713
20,23.325
20,23.325
20,23.239
20,23.061
20,23.008
20,22.71
20,22.594
20,22.229
20,22.025
20,21.939
20,21.7
20,21.619
20,21.506
20,21.439
20,21.36
20,20.995
20,20.84
20,20.73
20,20.69
20,20.62
20,20.38
20,20.34
20,20.21
20,19.95
20,19.94
20,19.82
20,19.58
20,19.37
20,19.25
20,19.17
20,19.08
20,18.95
20,18.83
20,18.79
20,18.73
20,18.62
20,18.61
20,18.53
20,18.22
20,18.12
20,17.84
20,17.76
20,17.71
20,17.65
20,17.53
20,17.26
21,28.298
21,27.599
21,26.97
21,26.702
21,25.923
21,24.928
21,24.515
21,24.071
21,23.853
21,23.807
21,23.319
21,23.053
21,22.925
21,22.338
21,22.05
21,22.05
21,21.984
21,21.295
21,21.123
21,20.807
21,20.766
21,20.73
21,20.715
21,20.523
21,20.129
21,19.869
21,19.851
21,19.83
21,19.75
21,19.72
21,19.5
21,19.42
21,19.15
